filename, language, JavaScript, JSON, Markdown, HTML, Vue, XML, comment, blank, total
d:\Repository\outsourcing\outsourcing-vue\.prettierrc, JSON, 0, 4, 0, 0, 0, 0, 0, 1, 5
d:\Repository\outsourcing\outsourcing-vue\README.md, Markdown, 0, 0, 23, 0, 0, 0, 0, 7, 30
d:\Repository\outsourcing\outsourcing-vue\babel.config.js, JavaScript, 3, 0, 0, 0, 0, 0, 0, 1, 4
d:\Repository\outsourcing\outsourcing-vue\public\index.html, HTML, 0, 0, 0, 21, 0, 0, 1, 3, 25
d:\Repository\outsourcing\outsourcing-vue\public\manifest.json, JSON, 0, 10, 0, 0, 0, 0, 0, 0, 10
d:\Repository\outsourcing\outsourcing-vue\src\App.vue, Vue, 0, 0, 0, 0, 84, 0, 0, 17, 101
d:\Repository\outsourcing\outsourcing-vue\src\assets\logo.svg, XML, 0, 0, 0, 0, 0, 1, 0, 1, 2
d:\Repository\outsourcing\outsourcing-vue\src\components\Card.vue, Vue, 0, 0, 0, 0, 35, 0, 0, 2, 37
d:\Repository\outsourcing\outsourcing-vue\src\components\Comment.vue, Vue, 0, 0, 0, 0, 63, 0, 0, 1, 64
d:\Repository\outsourcing\outsourcing-vue\src\components\ConfirmDialog.vue, Vue, 0, 0, 0, 0, 34, 0, 0, 2, 36
d:\Repository\outsourcing\outsourcing-vue\src\components\Countdown.vue, Vue, 0, 0, 0, 0, 66, 0, 7, 2, 75
d:\Repository\outsourcing\outsourcing-vue\src\components\Ctg.vue, Vue, 0, 0, 0, 0, 85, 0, 0, 11, 96
d:\Repository\outsourcing\outsourcing-vue\src\components\Head.vue, Vue, 0, 0, 0, 0, 47, 0, 0, 7, 54
d:\Repository\outsourcing\outsourcing-vue\src\components\Info.vue, Vue, 0, 0, 0, 0, 170, 0, 0, 4, 174
d:\Repository\outsourcing\outsourcing-vue\src\components\LoadCard.vue, Vue, 0, 0, 0, 0, 232, 0, 0, 5, 237
d:\Repository\outsourcing\outsourcing-vue\src\components\MyInfo.vue, Vue, 0, 0, 0, 0, 127, 0, 0, 4, 131
d:\Repository\outsourcing\outsourcing-vue\src\components\Nav.vue, Vue, 0, 0, 0, 0, 471, 0, 0, 23, 494
d:\Repository\outsourcing\outsourcing-vue\src\components\Paid.vue, Vue, 0, 0, 0, 0, 55, 0, 0, 5, 60
d:\Repository\outsourcing\outsourcing-vue\src\components\Processing.vue, Vue, 0, 0, 0, 0, 302, 0, 0, 15, 317
d:\Repository\outsourcing\outsourcing-vue\src\components\Table.vue, Vue, 0, 0, 0, 0, 121, 0, 0, 4, 125
d:\Repository\outsourcing\outsourcing-vue\src\js\utils.js, JavaScript, 75, 0, 0, 0, 0, 0, 1, 11, 87
d:\Repository\outsourcing\outsourcing-vue\src\main.js, JavaScript, 30, 0, 0, 0, 0, 0, 0, 6, 36
d:\Repository\outsourcing\outsourcing-vue\src\plugins\vuetify.js, JavaScript, 8, 0, 0, 0, 0, 0, 0, 3, 11
d:\Repository\outsourcing\outsourcing-vue\src\router.js, JavaScript, 84, 0, 0, 0, 0, 0, 0, 3, 87
d:\Repository\outsourcing\outsourcing-vue\src\views\Account.vue, Vue, 0, 0, 0, 0, 101, 0, 0, 6, 107
d:\Repository\outsourcing\outsourcing-vue\src\views\Center.vue, Vue, 0, 0, 0, 0, 18, 0, 754, 1, 773
d:\Repository\outsourcing\outsourcing-vue\src\views\Detail.vue, Vue, 0, 0, 0, 0, 625, 0, 0, 26, 651
d:\Repository\outsourcing\outsourcing-vue\src\views\Edit.vue, Vue, 0, 0, 0, 0, 48, 0, 0, 3, 51
d:\Repository\outsourcing\outsourcing-vue\src\views\Forget.vue, Vue, 0, 0, 0, 0, 125, 0, 0, 4, 129
d:\Repository\outsourcing\outsourcing-vue\src\views\Getback.vue, Vue, 0, 0, 0, 0, 322, 0, 0, 22, 344
d:\Repository\outsourcing\outsourcing-vue\src\views\Home.vue, Vue, 0, 0, 0, 0, 106, 0, 0, 5, 111
d:\Repository\outsourcing\outsourcing-vue\src\views\Index.vue, Vue, 0, 0, 0, 0, 134, 0, 0, 7, 141
d:\Repository\outsourcing\outsourcing-vue\src\views\Login.vue, Vue, 0, 0, 0, 0, 122, 0, 128, 19, 269
d:\Repository\outsourcing\outsourcing-vue\src\views\Manage.vue, Vue, 0, 0, 0, 0, 55, 0, 678, 1, 734
d:\Repository\outsourcing\outsourcing-vue\src\views\Register.vue, Vue, 0, 0, 0, 0, 179, 0, 121, 26, 326
d:\Repository\outsourcing\outsourcing-vue\src\views\Search.vue, Vue, 0, 0, 0, 0, 134, 0, 0, 4, 138
d:\Repository\outsourcing\outsourcing-vue\src\views\Show.vue, Vue, 0, 0, 0, 0, 134, 0, 0, 11, 145
d:\Repository\outsourcing\outsourcing-vue\vue.config.js, JavaScript, 15, 0, 0, 0, 0, 0, 6, 1, 22
Total, -, 215, 14, 23, 21, 3995, 1, 1696, 274, 6239
